호선,블록,품목,규격,소요량,단위
H2473,A-101,후판,12T,20,EA
H2460,A-102,형강,L-100,23,M
D3045,B-204,파이프,2인치,26,M
S1192,B-205,볼트,M16,29,EA
H2473,C-311,후판,12T,32,EA
H2460,D-402,형강,L-100,35,M
D3045,D-403,파이프,2인치,38,M
S1192,E-108,볼트,M16,41,EA
H2473,E-109,후판,12T,44,EA
H2460,F-220,형강,L-100,47,M
D3045,A-101,파이프,2인치,50,M
S1192,A-102,볼트,M16,53,EA
H2473,B-204,후판,12T,56,EA
H2460,B-205,형강,L-100,59,M
D3045,C-311,파이프,2인치,62,M
S1192,D-402,볼트,M16,65,EA
H2473,D-403,후판,12T,68,EA
H2460,E-108,형강,L-100,71,M
D3045,E-109,파이프,2인치,74,M
S1192,F-220,볼트,M16,77,EA
